numPos,numNeg,numStages,maxFalseAlarmRate,minHitRate,maxDepth,maxWeakCount,Precision,Total_Detections,Valid_Plates
409,329,12,0.19,0.78,5,259,0.0,0,0
596,341,8,0.19,0.87,8,202,0.0028000000000000004,710,2
563,359,9,0.18,0.85,5,236,0.0,1,0
770,341,11,0.11,0.83,5,259,0.0375,80,3
634,246,9,0.24,0.75,5,244,0.0175,400,7
615,151,12,0.1,0.79,8,288,0.029500000000000002,237,7
315,155,12,0.36,0.79,8,282,0.0,10,0
771,354,11,0.28,0.77,10,227,0.129,31,4
695,287,9,0.29,0.92,8,203,0.0014000000000000002,4154,6
498,243,8,0.23,0.87,5,192,0.0478,230,11
927,468,11,0.18,0.73,8,233,0.0,5,0
646,227,8,0.18,0.73,5,212,0.0161,871,14
784,339,10,0.13,0.95,6,203,0.1188,101,12
352,246,8,0.23,0.83,7,201,0.0012,1665,2
663,437,12,0.28,0.93,10,268,0.0,0,0
883,398,10,0.29,0.98,8,273,0.0857,105,9
797,298,12,0.24,0.88,10,244,0.1509,53,8
805,461,8,0.18,0.96,8,222,0.0,28,0
697,350,12,0.19,0.93,10,196,0.0,1,0
679,332,12,0.33,0.95,9,196,0.0,10,0
511,388,12,0.19,0.84,10,291,0.0,0,0
739,459,12,0.12,0.96,10,280,0.0,0,0
308,269,11,0.17,0.73,10,254,0.0,0,0
460,337,10,0.4,0.91,8,203,0.0,0,0
469,250,11,0.19,0.82,7,224,0.0,1,0
326,150,12,0.36,0.84,9,254,0.0,36,0
370,199,10,0.15,0.71,9,206,0.0,25,0
497,433,11,0.32,0.93,8,192,0.0,0,0
